"MAXIMUM MONTHLY AMOUNTS FOR THE OLD AGE SECURITY PROGRAM, BY TYPE OF BENEFITS AND QUARTER FROM 1952 TO 2021",,,,,,,,,,,
"MONTANTS MENSUELS MAXIMAUX POUR LE PROGRAMME DE LA SECURITE DE LA VIEILLESSE, SELON LE GENRE ET LE TRIMESTRE DE 1952 À 2021",,,,,,,,,,,
,,,,,,,,,,,
Year,Period,Old Age Security Pension,Guaranteed Income Supplement,Guaranteed Income Supplement,Guaranteed Income Supplement,Guaranteed Income Supplement,Allowance,Allowance,Allowance,Allowance,
Année,Période,Pension de la sécurité de la vieillesse,Supplément de revenu garanti,Supplément de revenu garanti,Supplément de revenu garanti,Supplément de revenu garanti,Allocation,Allocation,Allocation,Allocation,
,,,Single/Seul,Single/Seul,Married/Marié,Married/Marié,Married/Marié,Married/Marié,Widowed/Survivant,Widowed/Survivant,
,,,Prestation complémentaire,Montant Maximal,Prestation complémentaire,Montant Maximal,Prestation complémentaire,Montant Maximal,Prestation complémentaire,Montant Maximal,
,,,Top-Up Amount,Maximum Amount,Top-Up Amount,Maximum Amount,Top-Up Amount,Maximum Amount,Top-Up Amount,Maximum Amount,
,,,,,,,,,,,
1952,JAN./JAN.,40.00,   ...  ,   ...  ,   ...  ,   ...  ,   ...  ,  ...  ,   ...  ,  ...  ,
1957,JULY/JUIL.,46.00,   ...  ,   ...  ,   ...  ,   ...  ,   ...  ,  ...  ,   ...  ,  ...  ,
1957,NOV./NOV.,55.00,   ...  ,   ...  ,   ...  ,   ...  ,   ...  ,  ...  ,   ...  ,  ...  ,
1962,FEB./FEV.,65.00,   ...  ,   ...  ,   ...  ,   ...  ,   ...  ,  ...  ,   ...  ,  ...  ,
1963,OCT./OCT.,75.00,   ...  ,   ...  ,   ...  ,   ...  ,   ...  ,  ...  ,   ...  ,  ...  ,
1967,JAN./JAN.,75.00,   ...  ,30.00,   ...  ,30.00,   ...  ,  ...  ,   ...  ,  ...  ,
1968,JAN./JAN.,76.50,   ...  ,30.60,   ...  ,30.60,   ...  ,  ...  ,   ...  ,  ...  ,
1969,JAN./JAN.,78.00,   ...  ,31.20,   ...  ,31.20,   ...  ,  ...  ,   ...  ,  ...  ,
1970,JAN./JAN.,79.58,   ...  ,31.83,   ...  ,31.83,   ...  ,  ...  ,   ...  ,  ...  ,
1971,JAN./JAN.,80.00,   ...  ,33.61,   ...  ,33.61,   ...  ,  ...  ,   ...  ,  ...  ,
1971,APRIL/AVRIL,80.00,   ...  ,55.00,   ...  ,47.50,   ...  ,  ...  ,   ...  ,  ...  ,
1972,JAN./JAN. ,82.88,   ...  ,67.12,   ...  ,59.62,   ...  ,  ...  ,   ...  ,  ...  ,
1973,APRIL/AVRIL,100.00,   ...  ,70.14,   ...  ,62.30,   ...  ,  ...  ,   ...  ,  ...  ,
1973,OCT./OCT.,105.30,   ...  ,73.86,   ...  ,65.60,   ...  ,  ...  ,   ...  ,  ...  ,
1974,JAN./JAN.,108.14,   ...  ,75.85,   ...  ,67.37,   ...  ,  ...  ,   ...  ,  ...  ,
1974,APRIL/AVRIL,110.09,   ...  ,77.22,   ...  ,68.58,   ...  ,  ...  ,   ...  ,  ...  ,
1974,JULY/JUIL.,112.95,   ...  ,79.23,   ...  ,70.36,   ...  ,  ...  ,   ...  ,  ...  ,
1974,OCT./OCT.,117.02,   ...  ,82.08,   ...  ,72.89,   ...  ,  ...  ,   ...  ,  ...  ,
1975,JAN./JAN.,120.06,   ...  ,84.21,   ...  ,74.79,   ...  ,  ...  ,   ...  ,  ...  ,
1975,APRIL/AVRIL,123.42,   ...  ,86.57,   ...  ,76.88,   ...  ,  ...  ,   ...  ,  ...  ,
1975,JULY/JUIL.,125.76,   ...  ,88.21,   ...  ,78.34,   ...  ,  ...  ,   ...  ,  ...  ,
1975,OCT./OCT.,129.28,   ...  ,90.68,   ...  ,80.53,   ...  ,209.81,   ...  ,  ...  ,
1976,JAN./JAN.,132.90,   ...  ,93.22,   ...  ,82.78,   ...  ,215.68,   ...  ,  ...  ,
1976,APRIL/AVRIL,135.43,   ...  ,94.99,   ...  ,84.35,   ...  ,219.78,   ...  ,  ...  ,
1976,JULY/JUIL.,137.06,   ...  ,96.13,   ...  ,85.36,   ...  ,222.42,   ...  ,  ...  ,
1976,OCT./OCT.,139.39,   ...  ,97.76,   ...  ,86.81,   ...  ,226.20,   ...  ,  ...  ,
1977,JAN./JAN.,141.34,   ...  ,99.13,   ...  ,88.03,   ...  ,229.37,   ...  ,  ...  ,
1977,APRIL/AVRIL,143.46,   ...  ,100.62,   ...  ,89.35,   ...  ,232.81,   ...  ,  ...  ,
1977,JULY/JUIL.,147.05,   ...  ,103.14,   ...  ,91.58,   ...  ,238.63,   ...  ,  ...  ,
1977,OCT./OCT.,150.43,   ...  ,105.51,   ...  ,93.69,   ...  ,244.12,   ...  ,  ...  ,
1978,JAN./JAN.,153.44,   ...  ,107.62,   ...  ,95.56,   ...  ,249.00,   ...  ,  ...  ,
1978,APRIL/AVRIL,156.66,   ...  ,109.88,   ...  ,97.57,   ...  ,254.23,   ...  ,  ...  ,
1978,JULY/JUIL.,159.79,   ...  ,112.08,   ...  ,99.52,   ...  ,259.31,   ...  ,  ...  ,
1978,OCT./OCT.,164.74,   ...  ,115.55,   ...  ,102.61,   ...  ,267.35,   ...  ,  ...  ,
1979,JAN./JAN.,167.21,   ...  ,137.28,   ...  ,114.15,   ...  ,281.36,   ...  ,281.36,
1979,APRIL/AVRIL,170.39,   ...  ,139.89,   ...  ,116.32,   ...  ,286.71,   ...  ,286.71,
1979,JULY/JUIL.,174.82,   ...  ,143.53,   ...  ,119.34,   ...  ,294.16,   ...  ,294.16,
1979,OCT./OCT.,179.02,   ...  ,146.97,   ...  ,122.20,   ...  ,301.22,   ...  ,301.22,
1980,JAN./JAN.,182.42,   ...  ,149.76,   ...  ,124.52,   ...  ,306.94,   ...  ,306.94,
1980,APRIL/AVRIL,186.80,   ...  ,153.35,   ...  ,127.51,   ...  ,314.31,   ...  ,314.31,
1980,JULY/JUIL.,191.28,   ...  ,192.03,   ...  ,148.07,   ...  ,339.35,   ...  ,339.35,
1980,OCT./OCT.,196.83,   ...  ,197.60,   ...  ,152.36,   ...  ,349.19,   ...  ,349.19,
1981,JAN./JAN.,202.14,   ...  ,202.94,   ...  ,156.47,   ...  ,358.61,   ...  ,358.61,
1981,APRIL/AVRIL,208.20,   ...  ,209.03,   ...  ,161.16,   ...  ,369.36,   ...  ,369.36,
1981,JULY/JUIL.,214.86,   ...  ,215.72,   ...  ,166.32,   ...  ,381.18,   ...  ,381.18,
1981,OCT./OCT.,221.74,   ...  ,222.62,   ...  ,171.64,   ...  ,393.38,   ...  ,393.38,
1982,JAN./JAN.,227.73,   ...  ,228.63,   ...  ,176.27,   ...  ,404.00,   ...  ,404.00,
1982,APRIL/AVRIL,232.97,   ...  ,233.89,   ...  ,180.32,   ...  ,413.29,   ...  ,413.29,
1982,JULY/JUIL.,239.73,   ...  ,240.67,   ...  ,185.55,   ...  ,425.28,   ...  ,425.28,
1982,OCT./OCT.,246.92,   ...  ,247.89,   ...  ,191.12,   ...  ,438.04,   ...  ,438.04,
1983,JAN./JAN.,251.12,   ...  ,252.10,   ...  ,194.37,   ...  ,445.49,   ...  ,445.49,
1983,APRIL/AVRIL,254.13,   ...  ,255.13,   ...  ,196.70,   ...  ,450.83,   ...  ,450.83,
1983,JULY/JUIL.,256.67,   ...  ,257.68,   ...  ,198.67,   ...  ,455.34,   ...  ,455.34,
1983,OCT./OCT.,260.52,   ...  ,261.55,   ...  ,201.65,   ...  ,462.17,   ...  ,462.17,
1984,JAN./JAN.,263.78,   ...  ,265.60,   ...  ,204.86,   ...  ,468.64,   ...  ,468.64,
1984,APRIL/AVRIL*,266.28,   ...  ,267.33,   ...  ,206.11,   ...  ,472.39,   ...  ,472.39,
1984,JULY/JUIL.,269.74,   ...  ,295.81,   ...  ,208.79,   ...  ,478.53,   ...  ,503.53,
1984,OCT./OCT.,272.17,   ...  ,298.47,   ...  ,210.67,   ...  ,482.84,   ...  ,508.06,
1984,DEC./DEC.,272.17,   ...  ,323.47,   ...  ,210.67,   ...  ,482.84,   ...  ,533.06,
1985,JAN./JAN.,273.80,   ...  ,325.41,   ...  ,211.93,   ...  ,485.73,   ...  ,536.26,
1985,APRIL/AVRIL,276.54,   ...  ,328.66,   ...  ,214.05,   ...  ,490.59,   ...  ,541.62,
1985,JULY/JUIL.,280.14,   ...  ,332.93,   ...  ,216.83,   ...  ,496.97,   ...  ,548.67,
1985,OCT./OCT.,282.94,   ...  ,336.26,   ...  ,219.00,   ...  ,501.94,   ...  ,554.16,
1986,JAN./JAN.,285.20,   ...  ,338.95,   ...  ,220.75,   ...  ,505.95,   ...  ,558.59,
1986,APRIL/AVRIL,288.34,   ...  ,342.68,   ...  ,223.18,   ...  ,511.52,   ...  ,564.74,
1986,JULY/JUIL.,291.51,   ...  ,346.45,   ...  ,225.63,   ...  ,517.14,   ...  ,570.95,
1986,OCT./OCT.,294.43,   ...  ,349.91,   ...  ,227.89,   ...  ,522.32,   ...  ,576.66,
1987,JAN./JAN.,297.37,   ...  ,353.41,   ...  ,230.17,   ...  ,527.54,   ...  ,582.42,
1987, APRIL/AVRIL,300.34,   ...  ,356.94,   ...  ,232.47,   ...  ,532.81,   ...  ,588.24,
1987, JULY/JUIL.,303.64,   ...  ,360.87,   ...  ,235.03,   ...  ,538.67,   ...  ,594.71,
1987,OCT./OCT.,308.19,   ...  ,366.28,   ...  ,238.56,   ...  ,546.75,   ...  ,603.63,
1988,JAN./JAN.,310.66,   ...  ,369.21,   ...  ,240.47,   ...  ,551.13,   ...  ,608.46,
1988,APRIL/AVRIL,313.15,   ...  ,372.16,   ...  ,242.39,   ...  ,555.54,   ...  ,613.33,
1988,JULY/JUIL.,315.97,   ...  ,375.51,   ...  ,244.57,   ...  ,560.54,   ...  ,618.85,
1988,OCT./OCT.,320.08,   ...  ,380.39,   ...  ,247.75,   ...  ,567.83,   ...  ,626.90,
1989,JAN./JAN.,323.28,   ...  ,384.19,   ...  ,250.23,   ...  ,573.51,   ...  ,633.17,
1989,APRIL/AVRIL,325.87,   ...  ,387.26,   ...  ,252.23,   ...  ,578.10,   ...  ,638.24,
1989,JULY/JUIL.,330.43,   ...  ,392.68,   ...  ,255.76,   ...  ,586.19,   ...  ,647.17,
1989,OCT./OCT.,337.04,   ...  ,400.53,   ...  ,260.88,   ...  ,597.92,   ...  ,660.11,
1990,JAN./JAN.,340.07,   ...  ,404.13,   ...  ,263.23,   ...  ,603.30,   ...  ,666.05,
1990,APRIL/AVRIL,343.13,   ...  ,407.77,   ...  ,265.60,   ...  ,608.73,   ...  ,672.04,
