Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0,23.99,919.12,"1,534.49"
24,47.99,918.12,"1,533.49"
48,71.99,917.12,"1,532.49"
72,95.99,916.12,"1,531.49"
96,119.99,915.12,"1,530.49"
120,143.99,914.12,"1,529.49"
144,167.99,913.12,"1,528.49"
168,191.99,912.12,"1,527.49"
192,215.99,911.12,"1,526.49"
216,239.99,910.12,"1,525.49"
240,263.99,909.12,"1,524.49"
264,287.99,908.12,"1,523.49"
288,311.99,907.12,"1,522.49"
312,335.99,906.12,"1,521.49"
336,359.99,905.12,"1,520.49"
360,383.99,904.12,"1,519.49"
384,407.99,903.12,"1,518.49"
408,431.99,902.12,"1,517.49"
432,455.99,901.12,"1,516.49"
456,479.99,900.12,"1,515.49"
480,503.99,899.12,"1,514.49"
504,527.99,898.12,"1,513.49"
528,551.99,897.12,"1,512.49"
552,575.99,896.12,"1,511.49"
576,599.99,895.12,"1,510.49"
600,623.99,894.12,"1,509.49"
624,647.99,893.12,"1,508.49"
648,671.99,892.12,"1,507.49"
672,695.99,891.12,"1,506.49"
696,719.99,890.12,"1,505.49"
720,743.99,889.12,"1,504.49"
744,767.99,888.12,"1,503.49"
768,791.99,887.12,"1,502.49"
792,815.99,886.12,"1,501.49"
816,839.99,885.12,"1,500.49"
840,863.99,884.12,"1,499.49"
864,887.99,883.12,"1,498.49"
888,911.99,882.12,"1,497.49"
912,935.99,881.12,"1,496.49"
936,959.99,880.12,"1,495.49"
960,983.99,879.12,"1,494.49"
984,"1,007.99",878.12,"1,493.49"
"1,008.00","1,031.99",877.12,"1,492.49"
"1,032.00","1,055.99",876.12,"1,491.49"
"1,056.00","1,079.99",875.12,"1,490.49"
"1,080.00","1,103.99",874.12,"1,489.49"
"1,104.00","1,127.99",873.12,"1,488.49"
"1,128.00","1,151.99",872.12,"1,487.49"
"1,152.00","1,175.99",871.12,"1,486.49"
"1,176.00","1,199.99",870.12,"1,485.49"
"1,200.00","1,223.99",869.12,"1,484.49"
"1,224.00","1,247.99",868.12,"1,483.49"
"1,248.00","1,271.99",867.12,"1,482.49"
"1,272.00","1,295.99",866.12,"1,481.49"
"1,296.00","1,319.99",865.12,"1,480.49"
"1,320.00","1,343.99",864.12,"1,479.49"
"1,344.00","1,367.99",863.12,"1,478.49"
"1,368.00","1,391.99",862.12,"1,477.49"
"1,392.00","1,415.99",861.12,"1,476.49"
"1,416.00","1,439.99",860.12,"1,475.49"
"1,440.00","1,463.99",859.12,"1,474.49"
"1,464.00","1,487.99",858.12,"1,473.49"
"1,488.00","1,511.99",857.12,"1,472.49"
"1,512.00","1,535.99",856.12,"1,471.49"
"1,536.00","1,559.99",855.12,"1,470.49"
"1,560.00","1,583.99",854.12,"1,469.49"
"1,584.00","1,607.99",853.12,"1,468.49"
"1,608.00","1,631.99",852.12,"1,467.49"
"1,632.00","1,655.99",851.12,"1,466.49"
"1,656.00","1,679.99",850.12,"1,465.49"
"1,680.00","1,703.99",849.12,"1,464.49"
"1,704.00","1,727.99",848.12,"1,463.49"
"1,728.00","1,751.99",847.12,"1,462.49"
"1,752.00","1,775.99",846.12,"1,461.49"
"1,776.00","1,799.99",845.12,"1,460.49"
"1,800.00","1,823.99",844.12,"1,459.49"
"1,824.00","1,847.99",843.12,"1,458.49"
"1,848.00","1,871.99",842.12,"1,457.49"
"1,872.00","1,895.99",841.12,"1,456.49"
"1,896.00","1,919.99",840.12,"1,455.49"
"1,920.00","1,943.99",839.12,"1,454.49"
"1,944.00","1,967.99",838.12,"1,453.49"
"1,968.00","1,991.99",837.12,"1,452.49"
"1,992.00","2,015.99",836.12,"1,451.49"
"2,016.00","2,039.99",835.12,"1,450.49"
