from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b�n�ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
0,47.99,553.28,"1,168.65"
48,95.99,552.28,"1,167.65"
96,143.99,551.28,"1,166.65"
144,191.99,550.28,"1,165.65"
192,239.99,549.28,"1,164.65"
240,287.99,548.28,"1,163.65"
288,335.99,547.28,"1,162.65"
336,383.99,546.28,"1,161.65"
384,431.99,545.28,"1,160.65"
432,479.99,544.28,"1,159.65"
480,527.99,543.28,"1,158.65"
528,575.99,542.28,"1,157.65"
576,623.99,541.28,"1,156.65"
624,671.99,540.28,"1,155.65"
672,719.99,539.28,"1,154.65"
720,767.99,538.28,"1,153.65"
768,815.99,537.28,"1,152.65"
816,863.99,536.28,"1,151.65"
864,911.99,535.28,"1,150.65"
912,959.99,534.28,"1,149.65"
960,"1,007.99",533.28,"1,148.65"
"1,008.00","1,055.99",532.28,"1,147.65"
"1,056.00","1,103.99",531.28,"1,146.65"
"1,104.00","1,151.99",530.28,"1,145.65"
"1,152.00","1,199.99",529.28,"1,144.65"
"1,200.00","1,247.99",528.28,"1,143.65"
"1,248.00","1,295.99",527.28,"1,142.65"
"1,296.00","1,343.99",526.28,"1,141.65"
"1,344.00","1,391.99",525.28,"1,140.65"
"1,392.00","1,439.99",524.28,"1,139.65"
"1,440.00","1,487.99",523.28,"1,138.65"
"1,488.00","1,535.99",522.28,"1,137.65"
"1,536.00","1,583.99",521.28,"1,136.65"
"1,584.00","1,631.99",520.28,"1,135.65"
"1,632.00","1,679.99",519.28,"1,134.65"
"1,680.00","1,727.99",518.28,"1,133.65"
"1,728.00","1,775.99",517.28,"1,132.65"
