from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0,"4,095.99",919.12,"1,534.49"
"4,096.00","4,191.99",918.12,"1,533.49"
"4,192.00","4,287.99",917.12,"1,532.49"
"4,288.00","4,383.99",916.12,"1,531.49"
"4,384.00","4,479.99",915.12,"1,530.49"
"4,480.00","4,575.99",914.12,"1,529.49"
"4,576.00","4,671.99",913.12,"1,528.49"
"4,672.00","4,767.99",912.12,"1,527.49"
"4,768.00","4,863.99",911.12,"1,526.49"
"4,864.00","4,959.99",910.12,"1,525.49"
"4,960.00","5,055.99",909.12,"1,524.49"
"5,056.00","5,151.99",908.12,"1,523.49"
"5,152.00","5,247.99",907.12,"1,522.49"
"5,248.00","5,343.99",906.12,"1,521.49"
"5,344.00","5,439.99",905.12,"1,520.49"
"5,440.00","5,535.99",904.12,"1,519.49"
"5,536.00","5,631.99",903.12,"1,518.49"
"5,632.00","5,727.99",902.12,"1,517.49"
"5,728.00","5,823.99",901.12,"1,516.49"
"5,824.00","5,919.99",900.12,"1,515.49"
"5,920.00","6,015.99",899.12,"1,514.49"
"6,016.00","6,111.99",898.12,"1,513.49"
"6,112.00","6,207.99",897.12,"1,512.49"
"6,208.00","6,303.99",896.12,"1,511.49"
"6,304.00","6,399.99",895.12,"1,510.49"
"6,400.00","6,495.99",894.12,"1,509.49"
"6,496.00","6,591.99",893.12,"1,508.49"
"6,592.00","6,687.99",892.12,"1,507.49"
"6,688.00","6,783.99",891.12,"1,506.49"
"6,784.00","6,879.99",890.12,"1,505.49"
"6,880.00","6,975.99",889.12,"1,504.49"
"6,976.00","7,071.99",888.12,"1,503.49"
"7,072.00","7,167.99",887.12,"1,502.49"
"7,168.00","7,263.99",886.12,"1,501.49"
"7,264.00","7,359.99",885.12,"1,500.49"
"7,360.00","7,439.99",884.12,"1,499.49"
"7,440.00","7,455.99",883.12,"1,498.49"
"7,456.00","7,487.99",882.12,"1,497.49"
"7,488.00","7,535.99",881.12,"1,496.49"
"7,536.00","7,551.99",880.12,"1,495.49"
"7,552.00","7,583.99",879.12,"1,494.49"
"7,584.00","7,631.99",878.12,"1,493.49"
"7,632.00","7,647.99",877.12,"1,492.49"
"7,648.00","7,679.99",876.12,"1,491.49"
"7,680.00","7,727.99",875.12,"1,490.49"
"7,728.00","7,743.99",874.12,"1,489.49"
"7,744.00","7,775.99",873.12,"1,488.49"
"7,776.00","7,823.99",872.12,"1,487.49"
"7,824.00","7,839.99",871.12,"1,486.49"
"7,840.00","7,871.99",870.12,"1,485.49"
"7,872.00","7,919.99",869.12,"1,484.49"
"7,920.00","7,935.99",868.12,"1,483.49"
"7,936.00","7,967.99",867.12,"1,482.49"
"7,968.00","8,015.99",866.12,"1,481.49"
"8,016.00","8,031.99",865.12,"1,480.49"
"8,032.00","8,063.99",864.12,"1,479.49"
"8,064.00","8,111.99",863.12,"1,478.49"
"8,112.00","8,127.99",862.12,"1,477.49"
"8,128.00","8,159.99",861.12,"1,476.49"
"8,160.00","8,207.99",860.12,"1,475.49"
"8,208.00","8,223.99",859.12,"1,474.49"
"8,224.00","8,255.99",858.12,"1,473.49"
"8,256.00","8,303.99",857.12,"1,472.49"
"8,304.00","8,319.99",856.12,"1,471.49"
"8,320.00","8,351.99",855.12,"1,470.49"
"8,352.00","8,399.99",854.12,"1,469.49"
"8,400.00","8,415.99",853.12,"1,468.49"
"8,416.00","8,447.99",852.12,"1,467.49"
"8,448.00","8,495.99",851.12,"1,466.49"
"8,496.00","8,511.99",850.12,"1,465.49"
"8,512.00","8,543.99",849.12,"1,464.49"
"8,544.00","8,591.99",848.12,"1,463.49"
"8,592.00","8,607.99",847.12,"1,462.49"
"8,608.00","8,639.99",846.12,"1,461.49"
"8,640.00","8,687.99",845.12,"1,460.49"
"8,688.00","8,703.99",844.12,"1,459.49"
"8,704.00","8,735.99",843.12,"1,458.49"
"8,736.00","8,783.99",842.12,"1,457.49"
"8,784.00","8,799.99",841.12,"1,456.49"
"8,800.00","8,831.99",840.12,"1,455.49"
"8,832.00","8,879.99",839.12,"1,454.49"
"8,880.00","8,895.99",838.12,"1,453.49"
"8,896.00","8,927.99",837.12,"1,452.49"
"8,928.00","8,975.99",836.12,"1,451.49"
"8,976.00","8,991.99",835.12,"1,450.49"
"8,992.00","9,023.99",834.12,"1,449.49"
"9,024.00","9,071.99",833.12,"1,448.49"
"9,072.00","9,087.99",832.12,"1,447.49"
"9,088.00","9,119.99",831.12,"1,446.49"
"9,120.00","9,167.99",830.12,"1,445.49"
"9,168.00","9,183.99",829.12,"1,444.49"
"9,184.00","9,215.99",828.12,"1,443.49"
"9,216.00","9,263.99",827.12,"1,442.49"
"9,264.00","9,279.99",826.12,"1,441.49"
"9,280.00","9,311.99",825.12,"1,440.49"
"9,312.00","9,359.99",824.12,"1,439.49"
"9,360.00","9,375.99",823.12,"1,438.49"
"9,376.00","9,407.99",822.12,"1,437.49"
"9,408.00","9,455.99",821.12,"1,436.49"
"9,456.00","9,471.99",820.12,"1,435.49"
"9,472.00","9,503.99",819.12,"1,434.49"
"9,504.00","9,551.99",818.12,"1,433.49"
"9,552.00","9,567.99",817.12,"1,432.49"
"9,568.00","9,599.99",816.12,"1,431.49"
"9,600.00","9,647.99",815.12,"1,430.49"
"9,648.00","9,663.99",814.12,"1,429.49"
"9,664.00","9,695.99",813.12,"1,428.49"
"9,696.00","9,743.99",812.12,"1,427.49"
"9,744.00","9,759.99",811.12,"1,426.49"
"9,760.00","9,791.99",810.12,"1,425.49"
"9,792.00","9,839.99",809.12,"1,424.49"
"9,840.00","9,855.99",808.12,"1,423.49"
"9,856.00","9,887.99",807.12,"1,422.49"
"9,888.00","9,935.99",806.12,"1,421.49"
"9,936.00","9,951.99",805.12,"1,420.49"
"9,952.00","9,983.99",804.12,"1,419.49"
"9,984.00","10,031.99",803.12,"1,418.49"
"10,032.00","10,047.99",802.12,"1,417.49"
"10,048.00","10,079.99",801.12,"1,416.49"
"10,080.00","10,127.99",800.12,"1,415.49"
"10,128.00","10,143.99",799.12,"1,414.49"
"10,144.00","10,175.99",798.12,"1,413.49"
"10,176.00","10,223.99",797.12,"1,412.49"
"10,224.00","10,239.99",796.12,"1,411.49"
"10,240.00","10,271.99",795.12,"1,410.49"
"10,272.00","10,319.99",794.12,"1,409.49"
"10,320.00","10,335.99",793.12,"1,408.49"
"10,336.00","10,367.99",792.12,"1,407.49"
"10,368.00","10,415.99",791.12,"1,406.49"
"10,416.00","10,431.99",790.12,"1,405.49"
"10,432.00","10,463.99",789.12,"1,404.49"
