from,to,gis,gis&oas,allowance
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,,
#"Combined Yearly Income of couple (excluding OAS, GIS and Allowance) From ($)","Combined Yearly Income of couple (excluding OAS, GIS and Allowance) To ($)",Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($),Monthly Allowance ($)
#"Revenu annuel du couple (sauf la pension de la SV, le SRG et l'Allocation) De ($)","Revenu annuel du couple (sauf la pension de la SV, le SRG et l'Allocation) � ($)",SRG mensuel pour montant maximal de la pension de la SV ($),SRG mensuel pour montant maximal de la pension de la SV ($),Allocation mensuelle ($)<
0,47.99,553.28,"1,168.65","1,168.65"
48,95.99,553.28,"1,168.65","1,165.65"
96,143.99,553.28,"1,168.65","1,162.65"
144,191.99,553.28,"1,168.65","1,159.65"
192,239.99,553.28,"1,168.65","1,156.65"
240,287.99,553.28,"1,168.65","1,153.65"
288,335.99,553.28,"1,168.65","1,150.65"
336,383.99,553.28,"1,168.65","1,147.65"
384,431.99,553.28,"1,168.65","1,144.65"
432,479.99,553.28,"1,168.65","1,141.65"
480,527.99,553.28,"1,168.65","1,138.65"
528,575.99,553.28,"1,168.65","1,135.65"
576,623.99,553.28,"1,168.65","1,132.65"
624,671.99,553.28,"1,168.65","1,129.65"
672,719.99,553.28,"1,168.65","1,126.65"
720,767.99,553.28,"1,168.65","1,123.65"
768,815.99,553.28,"1,168.65","1,120.65"
816,863.99,553.28,"1,168.65","1,117.65"
864,911.99,553.28,"1,168.65","1,114.65"
912,959.99,553.28,"1,168.65","1,111.65"
960,"1,007.99",553.28,"1,168.65","1,108.65"
"1,008.00","1,055.99",553.28,"1,168.65","1,105.65"
"1,056.00","1,103.99",553.28,"1,168.65","1,102.65"
"1,104.00","1,151.99",553.28,"1,168.65","1,099.65"
"1,152.00","1,199.99",553.28,"1,168.65","1,096.65"
"1,200.00","1,247.99",553.28,"1,168.65","1,093.65"
"1,248.00","1,295.99",553.28,"1,168.65","1,090.65"
"1,296.00","1,343.99",553.28,"1,168.65","1,087.65"
"1,344.00","1,391.99",553.28,"1,168.65","1,084.65"
"1,392.00","1,439.99",553.28,"1,168.65","1,081.65"
"1,440.00","1,487.99",553.28,"1,168.65","1,078.65"
"1,488.00","1,535.99",553.28,"1,168.65","1,075.65"
"1,536.00","1,583.99",553.28,"1,168.65","1,072.65"
"1,584.00","1,631.99",553.28,"1,168.65","1,069.65"
"1,632.00","1,679.99",553.28,"1,168.65","1,066.65"
"1,680.00","1,727.99",553.28,"1,168.65","1,063.65"
"1,728.00","1,775.99",553.28,"1,168.65","1,060.65"
"1,776.00","1,823.99",553.28,"1,168.65","1,057.65"
"1,824.00","1,871.99",553.28,"1,168.65","1,054.65"
"1,872.00","1,919.99",553.28,"1,168.65","1,051.65"
"1,920.00","1,967.99",553.28,"1,168.65","1,048.65"
"1,968.00","2,015.99",553.28,"1,168.65","1,045.65"
"2,016.00","2,063.99",553.28,"1,168.65","1,042.65"
"2,064.00","2,111.99",553.28,"1,168.65","1,039.65"
"2,112.00","2,159.99",553.28,"1,168.65","1,036.65"
"2,160.00","2,207.99",553.28,"1,168.65","1,033.65"
"2,208.00","2,255.99",553.28,"1,168.65","1,030.65"
"2,256.00","2,303.99",553.28,"1,168.65","1,027.65"
"2,304.00","2,351.99",553.28,"1,168.65",1024.65
"2,352.00","2,399.99",553.28,"1,168.65",1021.65
"2,400.00","2,447.99",553.28,"1,168.65",1018.65
"2,448.00","2,495.99",553.28,"1,168.65",1015.65
"2,496.00","2,543.99",553.28,"1,168.65",1012.65
"2,544.00","2,591.99",553.28,"1,168.65",1009.65
"2,592.00","2,639.99",553.28,"1,168.65",1006.65
"2,640.00","2,687.99",553.28,"1,168.65",1003.65
"2,688.00","2,735.99",553.28,"1,168.65",1000.65
"2,736.00","2,783.99",553.28,"1,168.65",997.65
"2,784.00","2,831.99",553.28,"1,168.65",994.65
"2,832.00","2,879.99",553.28,"1,168.65",991.65
"2,880.00","2,927.99",553.28,"1,168.65",988.65
"2,928.00","2,975.99",553.28,"1,168.65",985.65
"2,976.00","3,023.99",553.28,"1,168.65",982.65
"3,024.00","3,071.99",553.28,"1,168.65",979.65
"3,072.00","3,119.99",553.28,"1,168.65",976.65
"3,120.00","3,167.99",553.28,"1,168.65",973.65
"3,168.00","3,215.99",553.28,"1,168.65",970.65
"3,216.00","3,263.99",553.28,"1,168.65",967.65
"3,264.00","3,311.99",553.28,"1,168.65",964.65
"3,312.00","3,359.99",553.28,"1,168.65",961.65
