Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,
Yearly Income (excluding Allowance for the Survivor) From ($),Yearly Income (excluding Allowance for the Survivor) To ($),Monthly Allowance for the Survivor ($)
Revenu annuel (excluant l'Allocation au survivant) De ($),Revenu annuel (excluant l'Allocation au survivant) À ($),Allocation mensuelle au survivant ($)
0,47.99,"1,393.08"
48,95.99,"1,390.08"
96,143.99,"1,387.08"
144,191.99,"1,384.08"
192,239.99,"1,381.08"
240,287.99,"1,378.08"
288,335.99,"1,375.08"
336,383.99,"1,372.08"
384,431.99,"1,369.08"
432,479.99,"1,366.08"
480,527.99,"1,363.08"
528,575.99,"1,360.08"
576,623.99,"1,357.08"
624,671.99,"1,354.08"
672,719.99,"1,351.08"
720,767.99,"1,348.08"
768,815.99,"1,345.08"
816,863.99,"1,342.08"
864,911.99,"1,339.08"
912,959.99,"1,336.08"
960,"1,007.99","1,333.08"
"1,008.00","1,055.99","1,330.08"
"1,056.00","1,103.99","1,327.08"
"1,104.00","1,151.99","1,324.08"
"1,152.00","1,199.99","1,321.08"
"1,200.00","1,247.99","1,318.08"
"1,248.00","1,295.99","1,315.08"
"1,296.00","1,343.99","1,312.08"
"1,344.00","1,391.99","1,309.08"
"1,392.00","1,439.99","1,306.08"
"1,440.00","1,487.99","1,303.08"
"1,488.00","1,535.99","1,300.08"
"1,536.00","1,583.99","1,297.08"
"1,584.00","1,631.99","1,294.08"
"1,632.00","1,679.99","1,291.08"
"1,680.00","1,727.99","1,288.08"
"1,728.00","1,775.99","1,285.08"
"1,776.00","1,823.99","1,282.08"
"1,824.00","1,871.99","1,279.08"
"1,872.00","1,919.99","1,276.08"
"1,920.00","1,967.99","1,273.08"
"1,968.00","2,015.99","1,270.08"
"2,016.00","2,047.99","1,267.08"
"2,048.00","2,063.99","1,266.08"
"2,064.00","2,095.99","1,263.08"
"2,096.00","2,111.99","1,262.08"
"2,112.00","2,143.99","1,259.08"
"2,144.00","2,159.99","1,258.08"
"2,160.00","2,191.99","1,255.08"
"2,192.00","2,207.99","1,254.08"
"2,208.00","2,239.99","1,251.08"
"2,240.00","2,255.99","1,250.08"
"2,256.00","2,287.99","1,247.08"
"2,288.00","2,303.99","1,246.08"
"2,304.00","2,335.99","1,243.08"
"2,336.00","2,351.99","1,242.08"
"2,352.00","2,383.99","1,239.08"
"2,384.00","2,399.99","1,238.08"
"2,400.00","2,431.99","1,235.08"
"2,432.00","2,447.99","1,234.08"
"2,448.00","2,479.99","1,231.08"
